tensor(945.5782, device='cuda:0', dtype=torch.float64)
tensor(1022.0823, device='cuda:0', dtype=torch.float64)
tensor(1130.8568, device='cuda:0', dtype=torch.float64)
tensor(-3830.3826, device='cuda:0', dtype=torch.float64)
tensor(865.2664, device='cuda:0', dtype=torch.float64)
tensor(928.0075, device='cuda:0', dtype=torch.float64)
tensor(1090.4292, device='cuda:0', dtype=torch.float64)
tensor(1189.4583, device='cuda:0', dtype=torch.float64)
tensor(-3866.5425, device='cuda:0', dtype=torch.float64)
tensor(861.6988, device='cuda:0', dtype=torch.float64)
tensor(912.5889, device='cuda:0', dtype=torch.float64)
tensor(1005.4680, device='cuda:0', dtype=torch.float64)
tensor(1075.3381, device='cuda:0', dtype=torch.float64)
tensor(-4010.0512, device='cuda:0', dtype=torch.float64)
tensor(866.2142, device='cuda:0', dtype=torch.float64)
tensor(946.8118, device='cuda:0', dtype=torch.float64)
tensor(1043.1178, device='cuda:0', dtype=torch.float64)
tensor(1108.5608, device='cuda:0', dtype=torch.float64)
tensor(-3938.3954, device='cuda:0', dtype=torch.float64)
tensor(852.4104, device='cuda:0', dtype=torch.float64)
tensor(939.1105, device='cuda:0', dtype=torch.float64)
tensor(1044.6621, device='cuda:0', dtype=torch.float64)
tensor(1133.6290, device='cuda:0', dtype=torch.float64)
tensor(-3884.4668, device='cuda:0', dtype=torch.float64)
tensor(863.1734, device='cuda:0', dtype=torch.float64)
tensor(924.1261, device='cuda:0', dtype=torch.float64)
tensor(1042.9394, device='cuda:0', dtype=torch.float64)
tensor(1103.3402, device='cuda:0', dtype=torch.float64)
tensor(-3893.6267, device='cuda:0', dtype=torch.float64)
tensor(883.8651, device='cuda:0', dtype=torch.float64)
tensor(1004.1400, device='cuda:0', dtype=torch.float64)
tensor(1104.8223, device='cuda:0', dtype=torch.float64)
tensor(1136.4808, device='cuda:0', dtype=torch.float64)
tensor(-3924.0156, device='cuda:0', dtype=torch.float64)
tensor(869.7363, device='cuda:0', dtype=torch.float64)
tensor(913.7826, device='cuda:0', dtype=torch.float64)
tensor(986.5287, device='cuda:0', dtype=torch.float64)
tensor(1092.1940, device='cuda:0', dtype=torch.float64)
tensor(-3981.3286, device='cuda:0', dtype=torch.float64)
tensor(860.9949, device='cuda:0', dtype=torch.float64)
tensor(904.4090, device='cuda:0', dtype=torch.float64)
tensor(1055.0357, device='cuda:0', dtype=torch.float64)
tensor(1158.2492, device='cuda:0', dtype=torch.float64)
tensor(-3958.9800, device='cuda:0', dtype=torch.float64)
tensor(873.7572, device='cuda:0', dtype=torch.float64)
tensor(1014.0635, device='cuda:0', dtype=torch.float64)
tensor(1109.4093, device='cuda:0', dtype=torch.float64)
tensor(1142.3270, device='cuda:0', dtype=torch.float64)
tensor(-3929.7181, device='cuda:0', dtype=torch.float64)
tensor(876.3043, device='cuda:0', dtype=torch.float64)
tensor(915.2683, device='cuda:0', dtype=torch.float64)
tensor(1015.2375, device='cuda:0', dtype=torch.float64)
tensor(1120.4804, device='cuda:0', dtype=torch.float64)
tensor(-3974.3619, device='cuda:0', dtype=torch.float64)
tensor(877.3315, device='cuda:0', dtype=torch.float64)
tensor(944.5157, device='cuda:0', dtype=torch.float64)
tensor(1061.7519, device='cuda:0', dtype=torch.float64)
tensor(1142.2750, device='cuda:0', dtype=torch.float64)
tensor(-3987.1465, device='cuda:0', dtype=torch.float64)
tensor(892.1178, device='cuda:0', dtype=torch.float64)
tensor(955.4077, device='cuda:0', dtype=torch.float64)
tensor(1037.5202, device='cuda:0', dtype=torch.float64)
tensor(1170.0564, device='cuda:0', dtype=torch.float64)
tensor(-3938.4957, device='cuda:0', dtype=torch.float64)
tensor(849.3931, device='cuda:0', dtype=torch.float64)
tensor(933.5920, device='cuda:0', dtype=torch.float64)
tensor(1064.3286, device='cuda:0', dtype=torch.float64)
tensor(1127.9438, device='cuda:0', dtype=torch.float64)
tensor(-3985.7414, device='cuda:0', dtype=torch.float64)
tensor(891.7163, device='cuda:0', dtype=torch.float64)
tensor(1007.3132, device='cuda:0', dtype=torch.float64)
tensor(1110.2605, device='cuda:0', dtype=torch.float64)
tensor(1158.0879, device='cuda:0', dtype=torch.float64)
